table_path,field_name,public_field_name,is_redacted_dynamic_field,row_count,missing_count,missing_rate,unique_count,inferred_type,dictionary_label,dictionary_source,data_role_hint,date_field_hint,leakage_risk_hint,is_candidate_primary_key
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_all.txt,key,key,false,5,0,0.0,5,string,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_all.txt,value,value,false,5,0,0.0,<5,string,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_cna.txt,key,key,false,5,0,0.0,5,string,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_cna.txt,value,value,false,5,0,0.0,<5,string,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_cnaseq.txt,key,key,false,5,0,0.0,5,string,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_cnaseq.txt,value,value,false,5,0,0.0,<5,string,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_Pancreatic_Cancer.txt,key,key,false,5,0,0.0,5,string,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_Pancreatic_Cancer.txt,value,value,false,5,0,0.0,5,string,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_sequenced.txt,key,key,false,5,0,0.0,5,string,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_sequenced.txt,value,value,false,5,0,0.0,5,string,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_sv.txt,key,key,false,5,0,0.0,5,string,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/case_lists/cases_sv.txt,value,value,false,5,0,0.0,<5,string,待确认,,待确认,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PATIENT_ID,PATIENT_ID,false,1109,0,0.0,1109,string,待确认,,patient_key_or_patient_level,,,true
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,CA_DMETS_YN,CA_DMETS_YN,false,1109,612,0.551849,<5,boolean,Presence of Distant Metastasis at the Time of Cancer Diagnosis (Stage IV Diagnoses),data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,diagnosis_or_disease_status,,,false
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,CA_GRADE,CA_GRADE,false,1109,584,0.526601,<5,string,Grade or Differentiation of Tumor,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/【变量描述表格】GENIE-BPC-PANC-v1.0-public-Variable-Synopsis.xlsx::Variable Synopsis,diagnosis_or_disease_status,,,false
