cohort_stage,step_order,step,n_patients,excluded_from_previous,notes
round3_1_main,1,raw_patients,1109,,patient_level_dataset formal patient keys.
round3_1_main,2,index_pancreatic_primary,1109,0,Pancreatic index primary instance exists.
round3_1_main,3,pdac_mapping_include,1055,54,Draft PDAC include mapping; manual mapping not auto-included.
round3_1_main,4,single_locked_pdac_instance,1054,1,Exactly one include PDAC cancer instance for the patient.
round3_1_main,5,usable_ngs_time,993,61,At least one interpretable NGS report time exists.
round3_1_main,6,pdac_regimen_with_prior_ngs,594,399,Regimen belongs to locked PDAC instance and has NGS report before start.
round3_1_main,7,strict_extended,557,37,First legal PDAC t0 with advanced_evidence_day < t0 start.
round3_1_main,8,strict_core,475,82,Strict Extended plus clean sequence and standardized observed regimen.
round3_1_sensitivity,1,same_day_advanced_sensitivity_extended,557,,Includes same_day_ambiguous advanced evidence; not strict Core eligible.
round3_1_sensitivity,2,advanced_timing_pending_review,0,,Advanced status present but relative timing unknown.
