regimen_family,canonical_drug_set,candidate_id,mapping_relation,mapping_status,reason,manual_review_required,observed_rows,strict_t0_rows
non_pdac_context_or_endocrine,anastrozole,not_applicable,not_candidate,not_candidate,Observed regimen is endocrine or non-PDAC context and is excluded from the PDAC candidate space.,false,19,0
targeted_or_biologic_other,atezolizumab+cobimetinib,evidence_insufficient_direct_treatment,ambiguous,manual_review,Observed components do not establish a current named PDAC candidate or required clinical role.,true,5,<5
capecitabine_monotherapy,capecitabine,capecitabine_monotherapy,exact,observed_exact,Canonical set exactly matches the extended single-agent candidate; observed use is not a gold standard.,true,203,48
recognized_other_combination,capecitabine+docetaxel+gemcitabine,evidence_insufficient_direct_treatment,ambiguous,manual_review,Observed components do not establish a current named PDAC candidate or required clinical role.,true,7,<5
targeted_or_biologic_other,capecitabine+erlotinib,evidence_insufficient_direct_treatment,ambiguous,manual_review,Observed components do not establish a current named PDAC candidate or required clinical role.,true,5,0
gemcitabine_capecitabine,capecitabine+gemcitabine,gemcitabine_capecitabine,exact,observed_exact,Canonical set exactly matches the extended candidate; current role remains pending review.,true,119,28
CAPOX,capecitabine+oxaliplatin,folfox_or_off,variant,observed_variant,Capecitabine is a fluoropyrimidine prodrug and the observed oxaliplatin combination is a variant of the fluoropyrimidine/oxaliplatin candidate; clinical setting remains unresolved.,true,17,<5
recognized_other_combination,carboplatin+etoposide,evidence_insufficient_direct_treatment,ambiguous,manual_review,Observed components do not establish a current named PDAC candidate or required clinical role.,true,5,0
recognized_other_combination,cisplatin+etoposide,evidence_insufficient_direct_treatment,ambiguous,manual_review,Observed components do not establish a current named PDAC candidate or required clinical role.,true,6,0
gemcitabine_cisplatin,cisplatin+gemcitabine,gemcitabine_cisplatin_hrd,partial,observed_partial,"Observed component set is compatible with an HRD-context candidate, but biomarker and line conditions are not in this mapping.",true,39,<5
contains_investigational_drug,cisplatin+gemcitabine+investigational_drug,masked_investigational_regimen_review,masked_or_unresolvable,masked_or_unresolvable,Investigational component is masked; no concrete drug is inferred.,true,5,0
cisplatin_gemcitabine_nab_paclitaxel,cisplatin+gemcitabine+nab-paclitaxel,evidence_insufficient_direct_treatment,ambiguous,manual_review,No deterministic candidate mapping is justified from the aggregate regimen mapping.,true,13,<5
recognized_other_combination,cyclophosphamide+fluorouracil+methotrexate,evidence_insufficient_direct_treatment,ambiguous,manual_review,Observed components do not establish a current named PDAC candidate or required clinical role.,true,6,0
non_pdac_context_or_endocrine,exemestane,not_applicable,not_candidate,not_candidate,Observed regimen is endocrine or non-PDAC context and is excluded from the PDAC candidate space.,false,6,0
fluorouracil_monotherapy,fluorouracil,evidence_insufficient_direct_treatment,ambiguous,manual_review,No deterministic candidate mapping is justified from the aggregate regimen mapping.,true,29,<5
